COMMAND,GID,PWD,TTY,UID,USER,"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",euid,eventtype,from,home,host,index,linecount,name,punct,rhost,shell,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestartpos,tty,uid,user
,,,,,,"2026-03-04T03:05:37.857202+00:00 ip-172-31-88-245 (sd-pam): pam_unix(systemd-user:session): session closed for user testuser","2026-03-04T03:05:37.857+0000",3,4,5,march,37,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_(-):_(-:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:27.781826+00:00 ip-172-31-88-245 systemd-logind[713]: Removed session 58.","2026-03-04T03:05:27.781+0000",3,4,5,march,27,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_-[]:___.",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:27.780196+00:00 ip-172-31-88-245 sudo: pam_unix(sudo:session): session closed for user root","2026-03-04T03:05:27.780+0000",3,4,5,march,27,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:27.779723+00:00 ip-172-31-88-245 su[5208]: pam_unix(su-l:session): session closed for user root","2026-03-04T03:05:27.779+0000",3,4,5,march,27,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(-:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:27.779644+00:00 ip-172-31-88-245 sshd[5122]: pam_unix(sshd:session): session closed for user testuser","2026-03-04T03:05:27.779+0000",3,4,5,march,27,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:27.779567+00:00 ip-172-31-88-245 systemd-logind[713]: Session 58 logged out. Waiting for processes to exit.","2026-03-04T03:05:27.779+0000",3,4,5,march,27,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_-[]:____._____.",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:27.779433+00:00 ip-172-31-88-245 sshd[5195]: Disconnected from user testuser 35.150.52.148 port 64784","2026-03-04T03:05:27.779+0000",3,4,5,march,27,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_____...__",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:27.776161+00:00 ip-172-31-88-245 sshd[5195]: Received disconnect from 35.150.52.148 port 64784:11: disconnected by user","2026-03-04T03:05:27.776+0000",3,4,5,march,27,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:____...__::___",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:01.627868+00:00 ip-172-31-88-245 CRON[5321]: pam_unix(cron:session): session closed for user root","2026-03-04T03:05:01.627+0000",3,4,5,march,1,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(:):_____",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,,
,,,,,,"2026-03-04T03:05:01.624510+00:00 ip-172-31-88-245 CRON[5321]: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)","2026-03-04T03:05:01.624+0000",3,4,5,march,1,wednesday,2026,0,,,,,"victim-machine","victim-machine-logs",1,,"--::.+:_----_[]:_(:):_____(=)__(=)",,,"/var/log/auth.log",auth,"ip-172-31-84-63",,,,32,0,,0,
